City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.5906,26.891,293.03,81,35,1.47,ZA,1710824455
1,hamilton,39.1834,-84.5333,273.95,61,100,5.66,US,1710824202
2,lebu,-37.6167,-73.65,286.52,81,100,3.4,CL,1710824455
3,dimako,4.3833,13.5667,294.86,94,100,0.93,CM,1710824456
4,petropavlovsk-kamchatsky,53.0452,158.6483,273.48,86,40,22.35,RU,1710824456
5,grytviken,-54.2811,-36.5092,274.32,90,76,3.54,GS,1710824456
6,bethel,41.3712,-73.414,275.79,62,5,1.34,US,1710824234
7,hithadhoo,-0.6,73.0833,301.85,73,15,4.34,MV,1710824457
8,port-aux-francais,-49.35,70.2167,280.13,86,88,15.25,TF,1710824457
9,ribeira grande,38.5167,-28.7,287.47,81,55,4.02,PT,1710824457
10,tiksi,71.6872,128.8694,254.1,90,75,2.95,RU,1710824457
11,fort bragg,35.139,-79.006,282.0,36,100,6.69,US,1710824457
12,yellowknife,62.456,-114.3525,250.44,59,20,3.6,CA,1710824458
13,tazovsky,67.4667,78.7,254.75,96,50,3.67,RU,1710824458
14,kijang,35.2442,129.2139,287.0,30,81,7.16,KR,1710824458
15,umluj,25.0213,37.2685,294.84,49,2,6.8,SA,1710824458
16,mejit,10.2753,170.8646,299.95,77,63,6.94,MH,1710824459
17,utrik,11.2278,169.8474,299.83,77,98,6.34,MH,1710824459
18,badger,64.8,-147.5333,264.1,58,75,0.0,US,1710824459
19,wailua homesteads,22.0669,-159.378,294.68,83,85,3.85,US,1710824459
20,san pedro,14.35,121.0167,305.72,56,75,3.13,PH,1710824238
21,brisas de zicatela,15.8369,-97.0419,297.97,65,24,0.89,MX,1710824460
22,avarua,-21.2078,-159.775,301.18,78,62,3.6,CK,1710824460
23,llandudno,53.325,-3.8315,284.98,86,100,5.96,GB,1710824298
24,mitu,1.1983,-70.1733,296.78,95,66,0.13,CO,1710824460
25,cockburn town,21.4612,-71.1419,299.21,87,6,7.35,TC,1710824460
26,waitangi,-43.9535,-176.5597,284.72,79,56,4.92,NZ,1710824461
27,longyearbyen,78.2186,15.6401,247.06,76,0,1.03,SJ,1710824461
28,blackmans bay,-43.0167,147.3167,300.78,53,60,2.68,AU,1710824461
29,antofagasta,-23.65,-70.4,292.75,83,63,1.04,CL,1710824413
30,vadso,70.0744,29.7487,270.24,80,75,6.17,NO,1710824462
31,port mathurin,-19.6833,63.4167,299.72,77,5,9.4,MU,1710824462
32,puerto natales,-51.7236,-72.4875,275.47,92,99,1.37,CL,1710824462
33,igarka,67.4667,86.5833,258.78,91,100,4.08,RU,1710824295
34,qoryooley,1.7878,44.53,302.03,61,23,6.3,SO,1710824463
